batsman,ID,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
Jaiswal,13940.0,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Jos Buttler,2258.0,b Pathan,13,10,0,1,130.0,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Samson (c & wk),8271.0,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Padikkal,13088.0,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Riyan Parag,12305.0,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Neesham,8983.0,c Sangakkara b Lee,15,10,3,0,150.0,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Ashwin,1593.0,b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Irfan Pathan,73.0,c Neesham b Boult,3,5,0,0,60.0,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Karan Goel,1823.0,c Jaiswal b Prasidh,24,19,2,1,126.32,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Simon Katich,280.0,lbw b Boult,21,17,0,1,123.53,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Yuvraj Singh,69.0,st Samson b Chahal,23,13,1,2,176.92,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Kumar Sangakkara,104.0,c Riyan Parag b Ashwin,54,33,5,2,163.64,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
James Hopes,364.0,c Riyan Parag b Prasidh,71,33,10,3,215.15,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Jaiswal,13940.0,run out (Mohammad Hafeez/Saha),0,0,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Jos Buttler,2258.0,not out,1,2,0,0,50.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Samson (c & wk),8271.0,c Ganguly b Agarkar,0,1,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Padikkal,13088.0,c Dinda b Hussey,10,10,0,1,100.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Riyan Parag,12305.0,c Saha b Kartik,14,10,1,1,140.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Neesham,8983.0,b Mohammad Hafeez,6,7,1,0,85.71,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Ashwin,1593.0,c Saha b Kartik,0,3,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Boult,8117.0,c Hussey b Agarkar,32,39,2,2,82.05,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
4,,c Shukla b Dinda,0,6,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
,,c Mohammad Hafeez b Kartik,23,22,1,2,104.55,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
,,c Mohammad Hafeez b Kartik,23,14,1,0,100.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
,,c Kartik b Sharma,14,22,1,2,104.55,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
,,c Kartik b Sharma,14,14,1,0,100.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Laxmi Shukla,1600.0,c Neesham b Boult,4,6,0,0,66.67,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Wriddhiman Saha,1465.0,c Jaiswal b Prasidh,10,17,1,0,58.82,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Mohammad Hafeez,360.0,lbw b Boult,13,13,1,1,100.0,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
David Hussey,562.0,st Samson b Chahal,38,43,1,3,88.37,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Sourav Ganguly,29.0,c Riyan Parag b Ashwin,14,30,1,0,46.67,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Ricky Ponting,38.0,c Riyan Parag b Prasidh,0,1,0,0,0.0,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Brendon McCullum,201.0,c Samson b Obed McCoy,5,5,1,0,100.0,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Jaiswal,13940.0,not out,1,1,0,0,100.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Jos Buttler,2258.0,not out,24,11,4,0,218.18,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Samson (c & wk),8271.0,run out (Jadeja/Kamran Akmal),4,4,0,0,100.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Padikkal,13088.0,lbw b Warne,57,34,6,3,167.65,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Riyan Parag,12305.0,b Trivedi,12,19,0,1,63.16,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Neesham,8983.0,st Kamran Akmal b Salunkhe,2,4,0,0,50.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Ashwin,1593.0,c & b Warne,20,8,3,1,250.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Boult,8117.0,lbw b Warne,16,16,2,0,100.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
4,,b Patel,26,21,3,2,123.81,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
,,c Kamran Akmal b Trivedi,0,2,0,0,0.0,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Ravindra Jadeja,587.0,c Neesham b Boult,36,25,5,1,144.0,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Mohammad Kaif,70.0,c Jaiswal b Prasidh,5,8,1,0,62.5,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Darren Lehmann,1794.0,lbw b Boult,17,16,3,0,106.25,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Kamran Akmal,77.0,st Samson b Chahal,15,10,2,1,150.0,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Shane Watson,158.0,c Riyan Parag b Ashwin,76,49,5,5,155.1,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Yusuf Pathan,790.0,c Riyan Parag b Prasidh,7,5,1,0,140.0,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur"
Jaiswal,13940.0,not out,1,1,0,0,100.0,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Jos Buttler,2258.0,c Gambhir b Mahesh,12,7,2,0,171.43,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Samson (c & wk),8271.0,run out (Tiwary/Karthik),8,14,0,0,57.14,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Padikkal,13088.0,lbw b Bhatia,2,7,0,0,28.57,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Riyan Parag,12305.0,c McGrath b Bhatia,66,36,6,4,183.33,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Neesham,8983.0,c Karthik b Maharoof,12,13,2,0,92.31,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
Ashwin,1593.0,b Mohammad Asif,2,6,0,0,33.33,Inn1,Deccan Chargers,Delhi Daredevils,lost,10551,20:00:00,22,2008,4,"Rajiv Gandhi International Stadium, Hyderabad"
