batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
S Badrinath,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Jacob Oram,b Pathan,13,10,0,1,130.0,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Michael Hussey,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
MS Dhoni,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Parthiv Patel,c Sangakkara b Lee,15,10,3,0,150.0,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
,b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Irfan Pathan,not out,3,5,0,0,60.0,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Karan Goel,c Patel b Gony,24,19,2,1,126.32,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Simon Katich,not out,21,17,0,1,123.53,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Yuvraj Singh,c Amarnath b Joginder Sharma,23,13,1,2,176.92,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Kumar Sangakkara,c Joginder Sharma b Muralitharan,54,33,5,2,163.64,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
,c Joginder Sharma b Amarnath,71,33,10,3,215.15,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Pragyan Ojha,run out (Mohammad Hafeez/Saha),0,0,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
RP Singh,not out,1,2,0,0,50.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Chaminda Vaas,c Ganguly b Agarkar,0,1,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Arjun Yadav,c Dinda b Hussey,10,10,0,1,100.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Sanjay Bangar,c Saha b Kartik,14,10,1,1,140.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Scott Styris,b Mohammad Hafeez,6,7,1,0,85.71,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
Rohit Sharma,c Saha b Kartik,0,3,0,0,0.0,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata"
