,bowler,ID,overs,maidens,runs,wickets,no_balls,wides,economy,team,opponent,Inning,Win/Lost,match_id,time,day,year,Month,Venue
0,Dinda,1467,4,0,57,0,0,3,14.20,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
1,D Chahar,7836,2,0,21,0,0,0,10.50,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
2,Stokes,6557,4,0,36,1,0,2,9.00,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
3,Tahir,6667,4,0,28,3,0,0,7.00,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
4,Zampa,8642,3,0,26,1,0,1,8.70,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
5,R Bhatia,1468,3,0,14,2,0,0,4.70,Rising Pune Supergiant,Mumbai Indians,Inn1,won,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
6,Tim Southee,1057,4,0,34,1,0,2,8.50,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
7,Hardik Pandya,9647,4,0,36,1,0,0,9.00,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
8,Mitchell McClenaghan,7624,4,0,36,1,0,0,9.00,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
9,Jasprit Bumrah,9311,4,0,29,0,0,0,7.20,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
10,Krunal Pandya,11311,2,0,21,0,0,0,10.50,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
11,Kieron Pollard,657,1.5,0,30,0,0,1,16.40,Mumbai Indians,Rising Pune Supergiant,Inn2,lost,18122,20:00:00,6,2017,4,"Maharashtra Cricket Association Stadium, Pune"
12,Boult,8117,4,0,40,1,0,1,10.00,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
13,Chawla,466,4,0,33,1,0,1,8.20,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
14,Narine,2276,4,0,33,0,0,0,8.20,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
15,C Woakes,6670,3,0,35,0,0,0,11.70,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
16,Kuldeep Yadav,8292,4,0,25,2,0,0,6.20,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
17,Y Pathan,790,1,0,15,0,0,0,15.00,Kolkata Knight Riders,Gujarat Lions,Inn1,won,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
18,Praveen Kumar,592,2,0,13,0,0,0,6.50,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
19,Dhawal Kulkarni,1451,2.5,0,42,0,0,2,14.80,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
20,Manpreet Gony,1358,2,0,32,0,0,3,16.00,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
21,Shivil Koushik,10529,4,0,40,0,0,0,10.00,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
22,Dwayne Smith,255,1,0,23,0,0,0,23.00,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
23,Shadab Bashir Jakati,1812,3,0,30,0,0,6,10.00,Gujarat Lions,Kolkata Knight Riders,Inn2,lost,18123,20:00:00,7,2017,4,"Saurashtra Cricket Association Stadium, Rajkot"
24,Sandeep Sharma,8356,4,0,33,2,0,0,8.20,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
25,Mohit Sharma,8181,4,0,34,0,0,0,8.50,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
26,Axar,8808,4,0,27,1,0,2,6.80,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
27,T Natarajan,10225,3,0,26,1,0,0,8.70,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
28,Stoinis,8989,3,0,28,1,0,3,9.30,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
29,Swapnil Singh,10238,2,0,14,1,0,0,7.00,Kings XI Punjab,Rising Pune Supergiant,Inn1,won,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
30,Ashok Dinda,1467,3,0,26,1,0,0,8.70,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
31,Daniel Christian,6283,2,0,24,0,0,2,12.00,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
32,Ben Stokes,6557,4,0,32,0,0,1,8.00,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
33,Imran Tahir,6667,4,0,29,2,0,0,7.20,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
34,Rahul Chahar,12087,4,0,32,1,0,4,8.00,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
35,Rajat Bhatia,1468,2,0,20,0,0,2,10.00,Rising Pune Supergiant,Kings XI Punjab,Inn2,lost,18124,16:00:00,8,2017,4,"Holkar Cricket Stadium, Indore"
36,Bipul Sharma,6296,4,0,24,0,0,0,6.00,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
37,Bhuvneshwar,1726,4,0,21,2,0,0,5.20,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
38,Nehra,269,4,0,27,1,0,0,6.80,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
39,Rashid Khan,10738,4,0,19,3,0,0,4.80,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
40,Cutting,8118,3,0,29,0,0,0,9.70,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
41,Henriques,1437,1,0,12,0,0,0,12.00,Sunrisers Hyderabad,Gujarat Lions,Inn1,won,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
42,Suresh Raina (c),413,2,0,24,0,0,0,12.00,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
43,Praveen Kumar,592,2,0,16,1,0,0,8.00,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
44,Tejas Baroka,12639,3.3,0,33,0,0,0,9.40,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
45,Dhawal Kulkarni,1451,2,0,17,0,0,0,8.50,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
46,Shivil Koushik,10529,4,0,29,0,0,1,7.20,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
47,Basil Thampi,10267,2,0,21,0,0,2,10.50,Gujarat Lions,Sunrisers Hyderabad,Inn2,lost,18126,16:00:00,9,2017,4,"Rajiv Gandhi International Stadium, Hyderabad"
