,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue,ID
0,S Badrinath,not out,31,14,3,2,221.43,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",574
1,Jacob Oram,b Pathan,13,10,0,1,130.00,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",59
2,Suresh Raina,c Pathan b Mota,32,13,2,3,246.15,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",413
3,Michael Hussey,not out,116,54,8,9,214.81,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",4772
4,MS Dhoni,lbw b Hopes,2,3,0,0,66.67,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",265
5,Parthiv Patel,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",74
6,Matthew Hayden,b Pathan,25,17,4,1,147.06,Inn1,Chennai Super Kings,Kings XI Punjab,won,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",157
7,Irfan Pathan,not out,31,14,3,2,221.43,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",73
8,Karan Goel,b Pathan,13,10,0,1,130.00,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",1823
9,Simon Katich,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",280
10,Yuvraj Singh,not out,116,54,8,9,214.81,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",69
11,Kumar Sangakkara,lbw b Hopes,2,3,0,0,66.67,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",104
12,James Hopes,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",364
13,,b Pathan,25,17,4,1,147.06,Inn2,Kings XI Punjab,Chennai Super Kings,lost,10556,17:00:00,19,2008,4,"Punjab Cricket Association IS Bindra Stadium, Mohali",
14,Pragyan Ojha,not out,31,14,3,2,221.43,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",1356
15,RP Singh,b Pathan,13,10,0,1,130.00,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",434
16,Chaminda Vaas,c Pathan b Mota,32,13,2,3,246.15,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",108
17,Arjun Yadav,not out,116,54,8,9,214.81,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",1595
18,Sanjay Bangar,lbw b Hopes,2,3,0,0,66.67,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",1814
19,Scott Styris,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",58
20,Rohit Sharma,b Pathan,25,17,4,1,147.06,Inn1,Deccan Chargers,Kolkata Knight Riders,lost,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",576
21,Laxmi Shukla,not out,31,14,3,2,221.43,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",1600
22,Wriddhiman Saha,b Pathan,13,10,0,1,130.00,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",1465
23,Mohammad Hafeez,c Pathan b Mota,32,13,2,3,246.15,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",360
24,David Hussey,not out,116,54,8,9,214.81,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",562
25,Sourav Ganguly,lbw b Hopes,2,3,0,0,66.67,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",29
26,Ricky Ponting,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",38
27,Brendon McCullum,b Pathan,25,17,4,1,147.06,Inn2,Kolkata Knight Riders,Deccan Chargers,won,10554,16:00:00,20,2008,4,"Eden Gardens, Kolkata",201
28,Wilkin Mota,not out,31,14,3,2,221.43,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",1825
29,Piyush Chawla,b Pathan,13,10,0,1,130.00,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",466
30,Sunny Sohal,c Pathan b Mota,32,13,2,3,246.15,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",1827
31,Yuvraj Singh,not out,116,54,8,9,214.81,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",69
32,Irfan Pathan,lbw b Hopes,2,3,0,0,66.67,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",73
33,Mahela Jayawardene,c Sangakkara b Lee,15,10,3,0,150.00,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",101
34,Kumar Sangakkara,b Pathan,25,17,4,1,147.06,Inn1,Kings XI Punjab,Rajasthan Royals,lost,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",104
35,Ravindra Jadeja,not out,31,14,3,2,221.43,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",587
36,Mohammad Kaif,b Pathan,13,10,0,1,130.00,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",70
37,Darren Lehmann,c Pathan b Mota,32,13,2,3,246.15,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",1794
38,Kamran Akmal,not out,116,54,8,9,214.81,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",77
39,Shane Watson,lbw b Hopes,2,3,0,0,66.67,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",158
40,Yusuf Pathan,c Sangakkara b Lee,15,10,3,0,150.00,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",790
41,,b Pathan,25,17,4,1,147.06,Inn2,Rajasthan Royals,Kings XI Punjab,won,10552,20:00:00,21,2008,4,"Sawai Mansingh Stadium, Jaipur",
