,batsman,got_out,Runs,Balls,Fours,Sixes,St.rate,Inning,Team,Opponent,Win/Lost,match_id,time,day,year,Month,Venue
0,Warner,c Uthappa b A Russell,85,53,9,3,160.38,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
1,Bairstow (wk),b Chawla,39,35,3,1,111.43,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
2,Vijay Shankar,not out,40,24,2,2,166.67,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
3,Y Pathan,b A Russell,1,4,0,0,25.00,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
4,Manish Pandey,not out,8,5,1,0,160.00,Inn1,Sunrisers Hyderabad,Kolkata Knight Riders,lost,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
5,Chris Lynn,c Rashid Khan b Shakib,7,11,0,1,63.64,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
6,Nitish Rana,lbw b Rashid Khan,68,47,8,3,144.68,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
7,Robin Uthappa,b S Kaul,35,27,3,1,129.63,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
8,Dinesh Karthik (c & wk),c Bhuvneshwar b Sandeep Sharma,2,4,0,0,50.00,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
9,Andre Russell,not out,49,19,4,4,257.89,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
10,Shubman Gill,not out,18,10,0,2,180.00,Inn2,Kolkata Knight Riders,Sunrisers Hyderabad,won,22397,16:00:00,24,2019,3,"Eden Gardens, Kolkata"
11,Rahul,c Jos Buttler b D Kulkarni,4,4,1,0,100.00,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
12,Gayle,c R Tripathi b Stokes,79,47,8,4,168.09,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
13,Mayank Agarwal,c D Kulkarni b Gowtham,22,24,1,2,91.67,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
14,Sarfaraz Khan,not out,46,29,6,1,158.62,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
15,Pooran (wk),c A Rahane b Stokes,12,14,1,0,85.71,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
16,Mandeep,not out,5,2,0,0,250.00,Inn1,Kings XI Punjab,Rajasthan Royals,won,22399,20:00:00,25,2019,3,"Sawai Mansingh Stadium, Jaipur"
